stdntid,female,black,asian,hispc,natam,orace,t_smc,t_rgc,t_rga,incit,subur,rural,urban,frpl,spced,math,read,math_std,read_std,school,teacher
10489,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,434,414,-1.13080902488352,-0.758619706010195,49,178
10491,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,536,485,1.0041241476071,1.50795420321963,63,231
10541,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,434,397,-1.13080902488352,-1.3013205011779,55,197
10726,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,473,411,-0.314511047166516,-0.854390434569202,60,221
10763,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,459,427,-0.607541090449541,-0.343613215587833,17,60
10764,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,536,461,1.0041241476071,0.741788374747576,19,68
10767,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,547,451,1.23436203875805,0.422552612884221,26,91
10783,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,494,448,0.125034017758023,0.326781884325214,69,255
10803,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,418,393,-1.46570050292126,-1.42901480592324,37,132
10817,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,439,440,-1.02615543799672,0.0713932748345296,55,200
10857,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,434,419,-1.13080902488352,-0.599001825078517,26,91
10960,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,444,390,-0.921501851109926,-1.52478553448225,1,3
10961,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,478,402,-0.209857460279721,-1.14170262024622,1,3
10964,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,454,407,-0.712194677336336,-0.982084739314544,3,8
10969,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,429,403,-1.23546261177031,-1.10977904405989,13,44
10984,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,459,436,-0.607541090449541,-0.0563010299108126,22,79
10986,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,418,422,-1.46570050292126,-0.50323109651951,5,13
10998,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,384,398,-2.17734489375147,-1.26939692499156,40,146
11013,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,463,418,-0.523818220940105,-0.630925401264853,43,154
11040,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,468,413,-0.419164634053311,-0.79054328219653,56,203
11046,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,429,405,-1.23546261177031,-1.04593189168721,1,3
11052,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,484,408,-0.0842731560155669,-0.950161163128208,42,153
11057,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,473,431,-0.314511047166516,-0.21591891084249,58,214
11058,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,536,453,1.0041241476071,0.486399765256892,53,191
11066,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,439,419,-1.02615543799672,-0.599001825078517,5,12
11069,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,439,428,-1.02615543799672,-0.311689639401497,57,209
11077,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,528,447,0.836678408588228,0.294858308138879,17,59
11078,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,439,398,-1.02615543799672,-1.26939692499156,17,59
11086,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,494,443,0.125034017758023,0.167164003393536,47,171
11089,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,489,428,0.020380430871228,-0.311689639401497,26,89
11090,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,429,414,-1.23546261177031,-0.758619706010195,47,170
11106,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,559,440,1.48553064728636,0.0713932748345296,59,217
11117,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,473,407,-0.314511047166516,-0.982084739314544,33,112
11124,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,506,437,0.376202626286331,-0.024377453724477,37,128
11131,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,449,408,-0.816848264223131,-0.950161163128208,32,110
11140,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,602,456,2.38555149451279,0.582170493815899,53,189
11144,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,468,436,-0.419164634053311,-0.0563010299108126,39,139
11150,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,489,403,0.020380430871228,-1.10977904405989,4,11
11151,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,559,461,1.48553064728636,0.741788374747576,27,98
11160,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,602,458,2.38555149451279,0.64601764618857,55,202
11170,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,468,410,-0.419164634053311,-0.886314010755537,1,3
11171,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,449,408,-0.816848264223131,-0.950161163128208,1,2
11176,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,478,430,-0.209857460279721,-0.247842487028826,3,8
11177,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,494,433,0.125034017758023,-0.152071758469819,30,106
11178,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,463,433,-0.523818220940105,-0.152071758469819,30,105
11179,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,468,450,-0.419164634053311,0.390629036697885,58,213
11184,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,439,456,-1.02615543799672,0.582170493815899,46,168
11187,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,484,436,-0.0842731560155669,-0.0563010299108126,32,110
11193,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,473,436,-0.314511047166516,-0.0563010299108126,32,109
11198,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,478,405,-0.209857460279721,-1.04593189168721,55,196
11202,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,439,410,-1.02615543799672,-0.886314010755537,30,105
11206,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,602,460,2.38555149451279,0.709864798561241,27,98
11211,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,506,443,0.376202626286331,0.167164003393536,9,27
11213,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,418,403,-1.46570050292126,-1.10977904405989,30,106
11219,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,429,431,-1.23546261177031,-0.21591891084249,31,108
11220,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,412,414,-1.59128480718541,-0.758619706010195,8,25
11228,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,473,418,-0.314511047166516,-0.630925401264853,3,7
11234,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,528,434,0.836678408588228,-0.120148182283484,45,162
11236,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,463,428,-0.523818220940105,-0.311689639401497,63,234
11255,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,500,447,0.250618322022177,0.294858308138879,31,107
11275,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,412,388,-1.59128480718541,-1.58863268685492,40,146
11291,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,473,424,-0.314511047166516,-0.439383944146839,17,61
11300,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,559,485,1.48553064728636,1.50795420321963,59,218
11303,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,454,442,-0.712194677336336,0.135240427207201,14,48
11305,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,559,453,1.48553064728636,0.486399765256892,66,242
11308,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,434,395,-1.13080902488352,-1.36516765355057,57,209
11311,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,454,413,-0.712194677336336,-0.79054328219653,1,1
11323,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,506,416,0.376202626286331,-0.694772553637524,46,168
11324,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,444,403,-0.921501851109926,-1.10977904405989,14,49
11332,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,489,434,0.020380430871228,-0.120148182283484,53,190
11334,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,547,478,1.23436203875805,1.28448916991528,59,216
11346,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,463,410,-0.523818220940105,-0.886314010755537,58,215
11354,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,463,433,-0.523818220940105,-0.152071758469819,58,214
11363,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,506,421,0.376202626286331,-0.535154672705846,62,228
11365,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,429,400,-1.23546261177031,-1.20554977261889,30,106
11368,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,439,405,-1.02615543799672,-1.04593189168721,33,114
11379,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,547,422,1.23436203875805,-0.50323109651951,62,227
11382,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,463,437,-0.523818220940105,-0.024377453724477,43,156
11389,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,500,460,0.250618322022177,0.709864798561241,60,219
11390,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,468,416,-0.419164634053311,-0.694772553637524,52,187
11393,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,536,463,1.0041241476071,0.805635527120248,54,195
11394,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,478,414,-0.209857460279721,-0.758619706010195,57,206
11397,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,536,450,1.0041241476071,0.390629036697885,50,181
11398,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,429,424,-1.23546261177031,-0.439383944146839,47,172
11400,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,473,448,-0.314511047166516,0.326781884325214,50,182
11401,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,576,503,1.84135284270146,2.08257857457367,55,202
11402,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,536,440,1.0041241476071,0.0713932748345296,57,207
11404,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,468,433,-0.419164634053311,-0.152071758469819,47,172
11405,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,468,431,-0.419164634053311,-0.21591891084249,47,171
11406,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,459,424,-0.607541090449541,-0.439383944146839,55,201
11407,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,459,436,-0.607541090449541,-0.0563010299108126,55,201
11408,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,444,442,-0.921501851109926,0.135240427207201,54,193
11411,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,454,421,-0.712194677336336,-0.535154672705846,48,175
11413,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,528,442,0.836678408588228,0.135240427207201,65,237
11415,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,463,419,-0.523818220940105,-0.599001825078517,47,170
11417,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,459,410,-0.607541090449541,-0.886314010755537,47,172
11418,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,478,461,-0.209857460279721,0.741788374747576,63,232
11419,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,500,443,0.250618322022177,0.167164003393536,62,227
11420,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,423,431,-1.36104691603446,-0.21591891084249,60,221
11421,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,602,490,2.38555149451279,1.66757208415131,65,239
11423,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,468,428,-0.419164634053311,-0.311689639401497,47,170
11424,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,439,416,-1.02615543799672,-0.694772553637524,47,172
11425,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,484,414,-0.0842731560155669,-0.758619706010195,47,172
11426,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,439,425,-1.02615543799672,-0.407460367960504,54,195
11428,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,489,430,0.020380430871228,-0.247842487028826,60,220
11430,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,506,433,0.376202626286331,-0.152071758469819,61,224
11432,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,468,425,-0.419164634053311,-0.407460367960504,63,230
11436,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,494,461,0.125034017758023,0.741788374747576,63,231
11437,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,500,434,0.250618322022177,-0.120148182283484,55,199
11438,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,513,430,0.522717647927843,-0.247842487028826,47,172
11439,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,506,442,0.376202626286331,0.135240427207201,48,173
11440,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,468,422,-0.419164634053311,-0.50323109651951,61,224
11443,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,449,408,-0.816848264223131,-0.950161163128208,47,169
11444,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,489,443,0.020380430871228,0.167164003393536,62,229
11445,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,478,458,-0.209857460279721,0.64601764618857,55,197
11452,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,602,480,2.38555149451279,1.34833632228795,65,239
11453,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,528,448,0.836678408588228,0.326781884325214,62,228
11454,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,484,445,-0.0842731560155669,0.231011155766207,53,192
11455,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,513,439,0.522717647927843,0.0394696986481941,58,214
11457,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,520,467,0.669232669569356,0.93332983186559,58,212
11464,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,459,447,-0.607541090449541,0.294858308138879,54,193
11471,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,602,439,2.38555149451279,0.0394696986481941,57,206
11476,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,459,403,-0.607541090449541,-1.10977904405989,60,219
11477,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,500,433,0.250618322022177,-0.152071758469819,50,182
11478,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,439,424,-1.02615543799672,-0.439383944146839,49,179
11479,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,434,397,-1.13080902488352,-1.3013205011779,54,194
11480,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,506,500,0.376202626286331,1.98680784601466,57,205
11482,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,429,402,-1.23546261177031,-1.14170262024622,1,1
11484,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,602,470,2.38555149451279,1.0291005604246,59,217
11487,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,506,447,0.376202626286331,0.294858308138879,60,219
11490,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,449,411,-0.816848264223131,-0.854390434569202,4,11
11491,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,473,424,-0.314511047166516,-0.439383944146839,51,185
11492,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,478,474,-0.209857460279721,1.15679486516994,58,213
11499,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,449,414,-0.816848264223131,-0.758619706010195,8,25
11501,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,602,474,2.38555149451279,1.15679486516994,55,200
11503,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,626,465,2.88788871156941,0.869482679492919,59,218
11504,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,513,476,0.522717647927843,1.22064201754261,50,181
11505,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,439,411,-1.02615543799672,-0.854390434569202,48,173
11506,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,484,419,-0.0842731560155669,-0.599001825078517,2,6
11513,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,478,450,-0.209857460279721,0.390629036697885,53,192
11516,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,449,400,-0.816848264223131,-1.20554977261889,58,215
11517,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,473,424,-0.314511047166516,-0.439383944146839,25,87
11520,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,468,430,-0.419164634053311,-0.247842487028826,61,226
11521,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,536,468,1.0041241476071,0.965253408051925,50,181
11526,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,484,439,-0.0842731560155669,0.0394696986481941,61,223
11527,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,489,410,0.020380430871228,-0.886314010755537,61,226
11530,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,536,450,1.0041241476071,0.390629036697885,65,237
11536,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,473,418,-0.314511047166516,-0.630925401264853,16,55
11537,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,547,433,1.23436203875805,-0.152071758469819,26,91
11539,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,439,402,-1.02615543799672,-1.14170262024622,1,1
11557,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,473,405,-0.314511047166516,-1.04593189168721,37,131
11559,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,454,411,-0.712194677336336,-0.854390434569202,38,133
11561,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,489,467,0.020380430871228,0.93332983186559,7,21
11567,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,513,427,0.522717647927843,-0.343613215587833,53,191
11577,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,468,430,-0.419164634053311,-0.247842487028826,6,15
11591,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,489,439,0.020380430871228,0.0394696986481941,73,273
11595,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,559,507,1.48553064728636,2.21027287931901,12,42
11613,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,444,391,-0.921501851109926,-1.49286195829591,27,96
11620,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,412,393,-1.59128480718541,-1.42901480592324,33,111
11628,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,489,395,0.020380430871228,-1.36516765355057,37,132
11630,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,500,428,0.250618322022177,-0.311689639401497,37,132
11633,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,463,424,-0.523818220940105,-0.439383944146839,41,147
11634,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,602,503,2.38555149451279,2.08257857457367,43,157
11640,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,547,445,1.23436203875805,0.231011155766207,43,154
11646,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,463,433,-0.523818220940105,-0.152071758469819,38,137
11649,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,473,408,-0.314511047166516,-0.950161163128208,68,247
11651,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,536,447,1.0041241476071,0.294858308138879,43,156
11656,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,444,400,-0.921501851109926,-1.20554977261889,1,3
11659,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,439,434,-1.02615543799672,-0.120148182283484,3,8
11666,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,459,418,-0.607541090449541,-0.630925401264853,12,42
11669,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,454,413,-0.712194677336336,-0.79054328219653,46,167
11670,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,405,378,-1.73779982882693,-1.90786844871828,14,50
11672,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,520,439,0.669232669569356,0.0394696986481941,15,54
11674,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,536,451,1.0041241476071,0.422552612884221,70,260
11678,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,576,485,1.84135284270146,1.50795420321963,73,270
11701,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,405,397,-1.73779982882693,-1.3013205011779,40,146
11703,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,468,416,-0.419164634053311,-0.694772553637524,35,120
11704,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,412,402,-1.59128480718541,-1.14170262024622,40,143
11707,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,547,437,1.23436203875805,-0.024377453724477,43,155
11708,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,444,403,-0.921501851109926,-1.10977904405989,46,166
11711,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,444,418,-0.921501851109926,-0.630925401264853,14,49
11712,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,478,414,-0.209857460279721,-0.758619706010195,53,192
11722,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,463,407,-0.523818220940105,-0.982084739314544,1,3
11733,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,444,413,-0.921501851109926,-0.79054328219653,2,5
11734,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,473,447,-0.314511047166516,0.294858308138879,18,64
11737,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,463,439,-0.523818220940105,0.0394696986481941,13,44
11739,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,423,413,-1.36104691603446,-0.79054328219653,17,60
11742,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,473,451,-0.314511047166516,0.422552612884221,17,60
11744,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,468,436,-0.419164634053311,-0.0563010299108126,17,61
11750,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,434,405,-1.13080902488352,-1.04593189168721,22,78
11755,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,626,474,2.88788871156941,1.15679486516994,29,103
11756,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,463,421,-0.523818220940105,-0.535154672705846,31,108
11763,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,439,400,-1.02615543799672,-1.20554977261889,37,130
11769,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,423,410,-1.36104691603446,-0.886314010755537,41,148
11784,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,513,461,0.522717647927843,0.741788374747576,25,87
11787,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,478,433,-0.209857460279721,-0.152071758469819,14,47
11793,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,399,413,-1.86338413309108,-0.79054328219653,4,10
11795,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,520,447,0.669232669569356,0.294858308138879,11,37
11797,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,434,414,-1.13080902488352,-0.758619706010195,13,43
11815,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,500,425,0.250618322022177,-0.407460367960504,38,135
11817,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,536,476,1.0041241476071,1.22064201754261,16,57
